day,events,time,pedestrians,traffic,speed,rain,fog,clouds
Saturday,False,late morning,medium,medium,medium,no,no,no
Saturday,False,morning,medium,medium,high,no,no,light
Saturday,False,night,low,medium,medium,no,no,no
Sunday,False,afternoon,high,heavy,medium,no,no,light
Sunday,False,early evening,low,medium,medium,no,no,heavy
Sunday,False,early morning,low,low,medium,no,no,no
Sunday,False,evening,low,medium,medium,no,no,heavy
Sunday,False,late evening,low,medium,medium,no,no,heavy
Sunday,False,late morning,medium,medium,medium,no,no,no
Sunday,False,morning,medium,medium,high,no,no,no
Sunday,False,night,low,medium,medium,no,no,no
Monday,False,afternoon,medium,heavy,medium,no,no,heavy
Monday,False,early evening,medium,medium,medium,no,no,heavy
Monday,False,early morning,low,medium,medium,no,no,heavy
Monday,False,evening,low,medium,medium,no,no,heavy
Monday,False,late evening,low,medium,medium,no,no,heavy
Monday,False,late morning,medium,medium,medium,no,heavy,heavy
Monday,False,morning,medium,heavy,medium,no,moderate,heavy
Monday,False,night,low,low,medium,no,no,heavy
Tuesday,False,afternoon,medium,medium,medium,light,heavy,heavy
Tuesday,False,early evening,low,medium,medium,light,heavy,heavy
Tuesday,False,early morning,low,low,high,no,no,heavy
Tuesday,False,evening,low,medium,medium,light,heavy,heavy
Tuesday,False,late evening,low,medium,medium,light,heavy,heavy
Tuesday,False,late morning,medium,medium,medium,no,no,heavy
Tuesday,False,morning,medium,medium,medium,no,no,heavy
Tuesday,False,night,low,low,medium,no,no,heavy
Wednesday,False,afternoon,medium,medium,medium,no,light,no
Wednesday,False,early evening,low,medium,medium,no,moderate,no
Wednesday,False,early morning,low,low,medium,light,heavy,moderate
Wednesday,False,evening,low,medium,medium,no,light,no
Wednesday,False,late evening,low,medium,medium,no,no,no
Wednesday,False,late morning,medium,medium,medium,no,moderate,no
Wednesday,False,morning,medium,medium,low,light,heavy,no
Wednesday,False,night,low,low,medium,light,heavy,heavy
Thursday,True,afternoon,high,medium,medium,no,no,no
Thursday,True,early evening,low,medium,medium,no,no,light
Thursday,True,early morning,low,low,medium,no,no,no
Thursday,True,evening,low,medium,medium,no,no,light
Thursday,True,late evening,low,medium,medium,no,no,light
Thursday,True,late morning,medium,medium,medium,no,no,no
Thursday,True,morning,medium,medium,low,no,no,no
Thursday,True,night,low,low,medium,no,no,no
Friday,False,afternoon,high,medium,medium,no,no,no
Friday,False,early evening,low,medium,medium,no,no,no
Friday,False,early morning,low,low,medium,no,no,heavy
Friday,False,evening,low,medium,medium,no,no,moderate
Friday,False,late evening,low,medium,medium,no,no,heavy
Friday,False,late morning,medium,medium,medium,no,no,heavy
Friday,False,morning,medium,medium,medium,no,no,heavy
Friday,False,night,low,low,medium,no,no,heavy
Saturday,False,afternoon,high,medium,low,no,no,no
Saturday,False,early evening,low,medium,low,no,no,no
Saturday,False,early morning,low,low,medium,no,no,heavy
Saturday,False,evening,low,medium,low,no,no,no
Saturday,False,late evening,low,medium,medium,no,no,no
Saturday,False,late morning,high,medium,medium,no,no,no
Saturday,False,morning,medium,medium,medium,no,no,heavy
Saturday,False,night,low,low,medium,no,no,heavy
Sunday,False,afternoon,high,medium,medium,no,no,light
Sunday,False,early evening,low,medium,medium,no,no,heavy
Sunday,False,early morning,low,low,medium,no,no,light
Sunday,False,evening,low,medium,medium,no,no,no
Sunday,False,late evening,low,medium,medium,no,no,light
Sunday,False,late morning,high,medium,medium,no,no,no
Sunday,False,morning,medium,medium,high,no,no,no
Sunday,False,night,low,low,medium,no,no,no
Monday,True,afternoon,high,medium,medium,no,heavy,moderate
Monday,True,early evening,medium,medium,medium,no,heavy,no
Monday,True,early morning,low,low,medium,light,heavy,heavy
Monday,True,evening,medium,low,medium,no,moderate,no
Monday,True,late evening,low,low,medium,no,no,no
Monday,True,late morning,medium,medium,medium,light,heavy,heavy
Monday,True,morning,medium,medium,medium,light,heavy,heavy
Monday,True,night,low,low,medium,no,light,heavy
Tuesday,False,afternoon,medium,low,medium,no,no,light
Tuesday,False,early evening,medium,low,medium,no,no,heavy
Tuesday,False,early morning,low,low,medium,no,no,no
Tuesday,False,evening,medium,low,medium,no,no,moderate
Tuesday,False,late evening,low,low,medium,no,no,heavy
Tuesday,False,late morning,medium,low,medium,no,no,no
Tuesday,False,morning,medium,low,medium,no,no,no
Tuesday,False,night,low,low,medium,no,no,no
